32.5,211.5
,19.9667
33.0,7.8958
30.5,7.75
24.0,69.3
31.0,10.5
16.0,9.2167
23.0,93.5
24.0,7.1417
40.0,27.7208
43.0,211.3375
26.0,16.1
34.0,26.0
28.0,26.55
25.0,55.4417
31.0,21.0
16.0,18.0
60.5,
62.0,26.55
34.0,6.4958
25.0,7.25
13.0,262.375
60.0,263.0
42.0,13.0
42.0,32.5
40.0,7.8958
39.0,13.0
29.0,7.75
25.0,26.0
,7.75
27.0,8.6625
56.0,30.6958
,15.2458
21.0,26.55
,51.8625
,7.75
48.0,34.375
23.0,10.5
,82.1708
,8.4583
36.0,39.0
39.0,29.7
34.0,26.55
40.0,134.5
,8.7125
,7.7333
24.0,60.0
,15.5
3.0,41.5792
38.0,227.525
14.0,46.9
16.0,34.375
21.0,7.25
40.0,31.0
31.0,28.5375
,15.1
57.0,13.0
40.0,46.9
46.0,26.0
23.0,13.0
28.5,27.7208
21.0,7.75
48.0,7.8542
32.5,13.0
27.0,7.8542
3.0,18.75
18.0,6.75
14.0,11.2417
,7.8958
54.0,77.2875
45.0,35.5
,14.5
21.0,11.5
50.0,28.7125
19.0,7.8792
58.0,153.4625
20.0,7.925
2.0,23.0
40.0,31.3875
3.0,31.3875
22.0,7.225
16.0,26.0
38.0,7.775
22.0,9.8375
,7.225
,89.1042
,26.0
18.0,13.0
30.0,7.6292
18.0,14.4542
60.0,76.2917
7.0,15.2458
23.0,11.5
18.0,10.5
36.0,75.2417
22.0,7.75
18.5,13.0
21.0,13.0
18.0,7.775
30.0,45.5
29.0,26.0
,25.4667
,7.8792
25.0,13.0
22.0,13.9
21.0,8.6625
12.0,39.0
,8.05
22.0,10.5
38.0,7.2292
9.0,20.525
4.0,27.9
21.0,10.5
,8.05
,7.8958
28.0,8.05
35.0,26.2875
31.0,7.7333
18.0,262.375
55.0,135.6333
28.0,7.8958
,30.0
26.0,7.925
7.0,26.25
31.0,7.75
46.0,79.2
25.0,9.5
29.0,10.5
,15.5
14.5,14.4542
34.0,13.0
28.0,7.8958
20.0,26.0
32.0,15.5
17.0,8.6625
35.0,7.8958
25.0,7.8958
28.0,33.0
16.0,8.05
19.0,26.2833
29.0,7.775
21.0,7.8
36.0,27.75
2.0,31.275
17.0,8.05
50.0,13.0
18.0,108.9
,7.7375
27.0,7.7958
,8.6625
11.5,14.5
18.0,53.1
43.0,8.05
30.0,27.75
30.0,86.5
38.0,13.0
51.0,39.4
6.0,12.475
28.0,13.0
39.0,31.275
,7.3125
,14.5
33.0,90.0
17.0,7.2292
32.0,56.4958
,110.8833
,69.55
0.6667,14.5
30.0,12.35
9.0,27.9
62.0,10.5
2.0,10.4625
62.0,9.6875
42.0,227.525
32.0,13.0
,7.75
,56.4958
34.5,6.4375
22.0,9.35
26.0,13.0
,15.5
21.0,7.65
,7.8958
17.0,7.8958
17.0,73.5
,26.55
,7.8292
24.0,26.0
19.0,30.0
36.0,120.0
30.0,8.6625
31.0,57.0
36.0,7.8958
31.0,113.275
11.0,120.0
31.0,37.0042
47.0,15.0
,8.7125
2.0,39.6875
24.0,16.1
54.0,59.4
32.0,13.0
54.0,14.0
40.5,14.5
16.0,86.5
24.0,10.5
21.0,7.775
,7.75
54.0,78.2667
58.0,29.7
39.0,26.0
13.0,20.25
16.0,7.75
25.0,151.55
,7.55
61.0,12.35
22.0,29.0
,51.8625
2.0,29.125
,7.75
20.0,7.925
,69.55
20.0,7.05
27.0,247.5208
19.0,10.5
,26.0
18.0,79.65
,146.5208
32.0,7.925
22.0,7.2292
20.0,13.8625
